|film_id|category_id|title                      |category   |rating|release_year|rental_rate|last_update|
|130    |1          |CELEBRITY HORN             |Action     |PG-13 |2006        |0.99       |2006-02-15 |
|131    |4          |CENTER DINOSAUR            |Classics   |PG    |2006        |1.99       |2023-08-24 |
|132    |14         |CHAINSAW UPTOWN            |Sci-Fi     |PG    |2006        |1.99       |2023-08-24 |
|133    |12         |CHAMBER ITALIAN            |Music      |NC-17 |2006        |4.99       |2006-02-15 |
|134    |2          |CHAMPION FLATLINERS        |Animation  |PG    |2006        |1.99       |2023-08-24 |
|135    |15         |CHANCE RESURRECTION        |Sports     |R     |2006        |2.99       |2006-02-15 |
|136    |13         |CHAPLIN LICENSE            |New        |NC-17 |2006        |2.99       |2006-02-15 |
|137    |14         |CHARADE DUFFEL             |Sci-Fi     |PG    |2006        |1.99       |2023-08-24 |
|138    |14         |CHARIOTS CONSPIRACY        |Sci-Fi     |R     |2006        |2.99       |2006-02-15 |
|139    |8          |CHASING FIGHT              |Family     |PG    |2006        |1.99       |2023-08-24 |
|140    |14         |CHEAPER CLYDE              |Sci-Fi     |G     |2006        |0.99       |2006-02-15 |
|141    |10         |CHICAGO NORTH              |Games      |PG-13 |2006        |4.99       |2006-02-15 |
|142    |6          |CHICKEN HELLFIGHTERS       |Documentary|PG    |2006        |1.99       |2023-08-24 |
|143    |7          |CHILL LUCK                 |Drama      |PG    |2006        |1.99       |2023-08-24 |
|144    |13         |CHINATOWN GLADIATOR        |New        |PG    |2006        |1.99       |2023-08-24 |
|145    |8          |CHISUM BEHAVIOR            |Family     |G     |2006        |4.99       |2006-02-15 |
|146    |7          |CHITTY LOCK                |Drama      |G     |2006        |2.99       |2006-02-15 |
|147    |8          |CHOCOLAT HARRY             |Family     |NC-17 |2006        |0.99       |2006-02-15 |
|148    |9          |CHOCOLATE DUCK             |Foreign    |R     |2006        |2.99       |2006-02-15 |
|149    |3          |CHRISTMAS MOONSHINE        |Children   |NC-17 |2006        |0.99       |2006-02-15 |
|150    |6          |CIDER DESIRE               |Documentary|PG    |2006        |1.99       |2023-08-24 |
|151    |14         |CINCINATTI WHISPERER       |Sci-Fi     |NC-17 |2006        |4.99       |2006-02-15 |
|152    |3          |CIRCUS YOUTH               |Children   |PG-13 |2006        |2.99       |2006-02-15 |
|153    |14         |CITIZEN SHREK              |Sci-Fi     |G     |2006        |0.99       |2006-02-15 |
|154    |2          |CLASH FREDDY               |Animation  |G     |2006        |2.99       |2006-02-15 |
|155    |13         |CLEOPATRA DEVIL            |New        |PG-13 |2006        |0.99       |2006-02-15 |
|156    |6          |CLERKS ANGELS              |Documentary|G     |2006        |4.99       |2006-02-15 |
|157    |3          |CLOCKWORK PARADISE         |Children   |PG-13 |2006        |0.99       |2006-02-15 |
|158    |12         |CLONES PINOCCHIO           |Music      |R     |2006        |2.99       |2006-02-15 |
|159    |5          |CLOSER BANG                |Comedy     |R     |2006        |4.99       |2006-02-15 |
|160    |2          |CLUB GRAFFITI              |Animation  |PG-13 |2006        |0.99       |2006-02-15 |
|161    |12         |CLUE GRAIL                 |Music      |NC-17 |2006        |4.99       |2006-02-15 |
|162    |1          |CLUELESS BUCKET            |Action     |R     |2006        |2.99       |2006-02-15 |
|163    |13         |CLYDE THEORY               |New        |PG-13 |2006        |0.99       |2006-02-15 |
|164    |6          |COAST RAINBOW              |Documentary|PG    |2006        |1.99       |2023-08-24 |
|165    |14         |COLDBLOODED DARLING        |Sci-Fi     |G     |2006        |4.99       |2006-02-15 |
|166    |4          |COLOR PHILADELPHIA         |Classics   |G     |2006        |2.99       |2006-02-15 |
|167    |16         |COMA HEAD                  |Travel     |NC-17 |2006        |4.99       |2006-02-15 |
|168    |3          |COMANCHEROS ENEMY          |Children   |R     |2006        |0.99       |2006-02-15 |
|169    |16         |COMFORTS RUSH              |Travel     |NC-17 |2006        |2.99       |2006-02-15 |
|170    |9          |COMMAND DARLING            |Foreign    |PG-13 |2006        |4.99       |2006-02-15 |
|171    |11         |COMMANDMENTS EXPRESS       |Horror     |R     |2006        |4.99       |2006-02-15 |
|172    |7          |CONEHEADS SMOOCHY          |Drama      |NC-17 |2006        |4.99       |2006-02-15 |
|173    |7          |CONFESSIONS MAGUIRE        |Drama      |PG-13 |2006        |4.99       |2006-02-15 |
|174    |12         |CONFIDENTIAL INTERVIEW     |Music      |NC-17 |2006        |4.99       |2006-02-15 |
|175    |8          |CONFUSED CANDLES           |Family     |PG-13 |2006        |2.99       |2006-02-15 |
|176    |15         |CONGENIALITY QUEST         |Sports     |PG-13 |2006        |0.99       |2006-02-15 |
|177    |14         |CONNECTICUT TRAMP          |Sci-Fi     |R     |2006        |4.99       |2006-02-15 |
|178    |5          |CONNECTION MICROCOSMOS     |Comedy     |G     |2006        |0.99       |2006-02-15 |
|179    |7          |CONQUERER NUTS             |Drama      |G     |2006        |4.99       |2006-02-15 |
|180    |4          |CONSPIRACY SPIRIT          |Classics   |PG-13 |2006        |2.99       |2006-02-15 |
|181    |16         |CONTACT ANONYMOUS          |Travel     |PG-13 |2006        |2.99       |2006-02-15 |
|182    |5          |CONTROL ANTHEM             |Comedy     |G     |2006        |4.99       |2006-02-15 |
|183    |8          |CONVERSATION DOWNHILL      |Family     |R     |2006        |4.99       |2006-02-15 |
|184    |4          |CORE SUIT                  |Classics   |PG-13 |2006        |2.99       |2006-02-15 |
|185    |9          |COWBOY DOOM                |Foreign    |PG    |2006        |1.99       |2023-08-24 |
|186    |7          |CRAFT OUTFIELD             |Drama      |NC-17 |2006        |0.99       |2006-02-15 |
|187    |15         |CRANES RESERVOIR           |Sports     |NC-17 |2006        |2.99       |2006-02-15 |
|188    |5          |CRAZY HOME                 |Comedy     |PG    |2006        |1.99       |2023-08-24 |
|189    |10         |CREATURES SHAKESPEARE      |Games      |NC-17 |2006        |0.99       |2006-02-15 |
|190    |4          |CREEPERS KANE              |Classics   |NC-17 |2006        |4.99       |2006-02-15 |
|191    |3          |CROOKED FROGMEN            |Children   |PG-13 |2006        |0.99       |2006-02-15 |
|192    |9          |CROSSING DIVORCE           |Foreign    |R     |2006        |4.99       |2006-02-15 |
|193    |2          |CROSSROADS CASUALTIES      |Animation  |G     |2006        |2.99       |2006-02-15 |
|194    |1          |CROW GREASE                |Action     |PG    |2006        |1.99       |2023-08-24 |
|195    |14         |CROWDS TELEMARK            |Sci-Fi     |R     |2006        |4.99       |2006-02-15 |
|196    |4          |CRUELTY UNFORGIVEN         |Classics   |G     |2006        |0.99       |2006-02-15 |
|197    |15         |CRUSADE HONEY              |Sports     |R     |2006        |2.99       |2006-02-15 |
|198    |9          |CRYSTAL BREAKING           |Foreign    |NC-17 |2006        |2.99       |2006-02-15 |
|199    |6          |CUPBOARD SINNERS           |Documentary|R     |2006        |2.99       |2006-02-15 |
|200    |10         |CURTAIN VIDEOTAPE          |Games      |PG-13 |2006        |0.99       |2006-02-15 |
|201    |9          |CYCLONE FAMILY             |Foreign    |PG    |2006        |1.99       |2023-08-24 |
|202    |5          |DADDY PITTSBURGH           |Comedy     |G     |2006        |4.99       |2006-02-15 |
|203    |14         |DAISY MENAGERIE            |Sci-Fi     |G     |2006        |4.99       |2006-02-15 |
|204    |7          |DALMATIONS SWEDEN          |Drama      |PG    |2006        |1.99       |2023-08-24 |
|205    |1          |DANCES NONE                |Action     |NC-17 |2006        |0.99       |2006-02-15 |
|206    |6          |DANCING FEVER              |Documentary|G     |2006        |0.99       |2006-02-15 |
|207    |9          |DANGEROUS UPTOWN           |Foreign    |PG    |2006        |1.99       |2023-08-24 |
|208    |2          |DARES PLUTO                |Animation  |PG-13 |2006        |2.99       |2006-02-15 |
|209    |7          |DARKNESS WAR               |Drama      |NC-17 |2006        |2.99       |2006-02-15 |
|210    |1          |DARKO DORADO               |Action     |NC-17 |2006        |4.99       |2006-02-15 |
|211    |10         |DARLING BREAKING           |Games      |PG-13 |2006        |4.99       |2006-02-15 |
|212    |1          |DARN FORRESTER             |Action     |G     |2006        |4.99       |2006-02-15 |
|213    |8          |DATE SPEED                 |Family     |R     |2006        |0.99       |2006-02-15 |
|214    |3          |DAUGHTER MADIGAN           |Children   |PG-13 |2006        |4.99       |2006-02-15 |
|215    |10         |DAWN POND                  |Games      |PG    |2006        |1.99       |2023-08-24 |
|216    |13         |DAY UNFAITHFUL             |New        |G     |2006        |4.99       |2006-02-15 |
|217    |10         |DAZED PUNK                 |Games      |G     |2006        |4.99       |2006-02-15 |
|218    |7          |DECEIVER BETRAYED          |Drama      |NC-17 |2006        |0.99       |2006-02-15 |
|219    |6          |DEEP CRUSADE               |Documentary|PG-13 |2006        |4.99       |2006-02-15 |
|220    |12         |DEER VIRGINIAN             |Music      |NC-17 |2006        |2.99       |2006-02-15 |
|221    |6          |DELIVERANCE MULHOLLAND     |Documentary|R     |2006        |0.99       |2006-02-15 |
|222    |11         |DESERT POSEIDON            |Horror     |R     |2006        |4.99       |2006-02-15 |
|223    |2          |DESIRE ALIEN               |Animation  |NC-17 |2006        |2.99       |2006-02-15 |
|224    |16         |DESPERATE TRAINSPOTTING    |Travel     |G     |2006        |4.99       |2006-02-15 |
|225    |7          |DESTINATION JERK           |Drama      |PG-13 |2006        |0.99       |2006-02-15 |
|226    |13         |DESTINY SATURDAY           |New        |G     |2006        |4.99       |2006-02-15 |
|227    |10         |DETAILS PACKER             |Games      |R     |2006        |4.99       |2006-02-15 |
|228    |4          |DETECTIVE VISION           |Classics   |PG-13 |2006        |0.99       |2006-02-15 |
|229    |1          |DEVIL DESIRE               |Action     |R     |2006        |4.99       |2006-02-15 |
|230    |7          |DIARY PANIC                |Drama      |G     |2006        |2.99       |2006-02-15 |
|231    |8          |DINOSAUR SECRETARY         |Family     |R     |2006        |2.99       |2006-02-15 |
|232    |10         |DIRTY ACE                  |Games      |NC-17 |2006        |2.99       |2006-02-15 |
|233    |16         |DISCIPLE MOTHER            |Travel     |PG    |2006        |1.99       |2023-08-24 |
|234    |14         |DISTURBING SCARFACE        |Sci-Fi     |R     |2006        |2.99       |2006-02-15 |
|235    |14         |DIVIDE MONSTER             |Sci-Fi     |PG-13 |2006        |2.99       |2006-02-15 |
|236    |10         |DIVINE RESURRECTION        |Games      |R     |2006        |2.99       |2006-02-15 |
|237    |15         |DIVORCE SHINING            |Sports     |G     |2006        |2.99       |2006-02-15 |
|238    |3          |DOCTOR GRAIL               |Children   |G     |2006        |2.99       |2006-02-15 |
|239    |2          |DOGMA FAMILY               |Animation  |G     |2006        |4.99       |2006-02-15 |
|240    |14         |DOLLS RAGE                 |Sci-Fi     |PG-13 |2006        |2.99       |2006-02-15 |
|241    |2          |DONNIE ALLEY               |Animation  |NC-17 |2006        |0.99       |2006-02-15 |
|242    |5          |DOOM DANCING               |Comedy     |R     |2006        |0.99       |2006-02-15 |
|243    |2          |DOORS PRESIDENT            |Animation  |NC-17 |2006        |4.99       |2006-02-15 |
|244    |12         |DORADO NOTTING             |Music      |NC-17 |2006        |4.99       |2006-02-15 |
|245    |2          |DOUBLE WRATH               |Animation  |R     |2006        |0.99       |2006-02-15 |
|246    |9          |DOUBTFIRE LABYRINTH        |Foreign    |R     |2006        |4.99       |2006-02-15 |
|247    |5          |DOWNHILL ENOUGH            |Comedy     |G     |2006        |0.99       |2006-02-15 |
|248    |6          |DOZEN LION                 |Documentary|NC-17 |2006        |4.99       |2006-02-15 |
|249    |4          |DRACULA CRYSTAL            |Classics   |G     |2006        |0.99       |2006-02-15 |
|250    |1          |DRAGON SQUAD               |Action     |NC-17 |2006        |0.99       |2006-02-15 |
|251    |13         |DRAGONFLY STRANGERS        |New        |NC-17 |2006        |4.99       |2006-02-15 |
|252    |1          |DREAM PICKUP               |Action     |PG    |2006        |1.99       |2023-08-24 |
|253    |1          |DRIFTER COMMANDMENTS       |Action     |PG-13 |2006        |4.99       |2006-02-15 |
|254    |15         |DRIVER ANNIE               |Sports     |PG-13 |2006        |2.99       |2006-02-15 |
|255    |12         |DRIVING POLISH             |Music      |NC-17 |2006        |4.99       |2006-02-15 |
|256    |15         |DROP WATERFRONT            |Sports     |R     |2006        |4.99       |2006-02-15 |
|257    |16         |DRUMLINE CYCLONE           |Travel     |G     |2006        |0.99       |2006-02-15 |
|258    |11         |DRUMS DYNAMITE             |Horror     |PG    |2006        |1.99       |2023-08-24 |
|259    |2          |DUCK RACER                 |Animation  |NC-17 |2006        |2.99       |2006-02-15 |
|260    |15         |DUDE BLINDNESS             |Sports     |G     |2006        |4.99       |2006-02-15 |
|261    |6          |DUFFEL APOCALYPSE          |Documentary|G     |2006        |0.99       |2006-02-15 |
|262    |8          |DUMBO LUST                 |Family     |NC-17 |2006        |0.99       |2006-02-15 |
|263    |15         |DURHAM PANKY               |Sports     |R     |2006        |4.99       |2006-02-15 |
|264    |10         |DWARFS ALTER               |Games      |G     |2006        |2.99       |2006-02-15 |
|265    |5          |DYING MAKER                |Comedy     |PG    |2006        |1.99       |2023-08-24 |
|266    |4          |DYNAMITE TARZAN            |Classics   |PG-13 |2006        |0.99       |2006-02-15 |
|267    |13         |EAGLES PANKY               |New        |NC-17 |2006        |4.99       |2006-02-15 |
|268    |2          |EARLY HOME                 |Animation  |NC-17 |2006        |4.99       |2006-02-15 |
|269    |8          |EARRING INSTINCT           |Family     |R     |2006        |0.99       |2006-02-15 |
|270    |13         |EARTH VISION               |New        |NC-17 |2006        |0.99       |2006-02-15 |
|271    |1          |EASY GLADIATOR             |Action     |G     |2006        |4.99       |2006-02-15 |
|272    |7          |EDGE KISSING               |Drama      |NC-17 |2006        |4.99       |2006-02-15 |
|273    |8          |EFFECT GLADIATOR           |Family     |PG    |2006        |1.99       |2023-08-24 |
|274    |6          |EGG IGBY                   |Documentary|PG    |2006        |1.99       |2023-08-24 |
|275    |11         |EGYPT TENENBAUMS           |Horror     |PG    |2006        |1.99       |2023-08-24 |
|276    |5          |ELEMENT FREDDY             |Comedy     |NC-17 |2006        |4.99       |2006-02-15 |
|277    |11         |ELEPHANT TROJAN            |Horror     |PG-13 |2006        |4.99       |2006-02-15 |
|278    |12         |ELF MURDER                 |Music      |NC-17 |2006        |4.99       |2006-02-15 |
|279    |15         |ELIZABETH SHANE            |Sports     |NC-17 |2006        |4.99       |2006-02-15 |
|280    |3          |EMPIRE MALKOVICH           |Children   |G     |2006        |0.99       |2006-02-15 |
|281    |10         |ENCINO ELF                 |Games      |G     |2006        |0.99       |2006-02-15 |
|282    |7          |ENCOUNTERS CURTAIN         |Drama      |NC-17 |2006        |0.99       |2006-02-15 |
|283    |13         |ENDING CROWDS              |New        |NC-17 |2006        |0.99       |2006-02-15 |
|284    |12         |ENEMY ODDS                 |Music      |NC-17 |2006        |4.99       |2006-02-15 |
|285    |14         |ENGLISH BULWORTH           |Sci-Fi     |PG-13 |2006        |0.99       |2006-02-15 |
|286    |16         |ENOUGH RAGING              |Travel     |NC-17 |2006        |2.99       |2006-02-15 |
|287    |1          |ENTRAPMENT SATISFACTION    |Action     |R     |2006        |0.99       |2006-02-15 |
|288    |16         |ESCAPE METROPOLIS          |Travel     |R     |2006        |2.99       |2006-02-15 |
|289    |13         |EVE RESURRECTION           |New        |G     |2006        |4.99       |2006-02-15 |
|290    |9          |EVERYONE CRAFT             |Foreign    |PG    |2006        |1.99       |2023-08-24 |
|291    |15         |EVOLUTION ALTER            |Sports     |PG-13 |2006        |0.99       |2006-02-15 |
|292    |1          |EXCITEMENT EVE             |Action     |G     |2006        |0.99       |2006-02-15 |
