|id |title                  |description                                                                                                                     |length|rental_date|rental_duration|rental_return|
|951|VOYAGE LEGALLY         |A Epic Tale of a Squirrel And a Hunter who must Conquer a Boy in An Abandoned Mine Shaft                                        |78    |2005-05-25 |6              |9            |
|366|GOLDFINGER SENSIBILITY |A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans                                 |93    |2005-05-25 |3              |5            |
|39 |ARMAGEDDON LOST        |A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft                                |99    |2005-05-25 |5              |8            |
|748|RUGRATS SHAKESPEARE    |A Touching Saga of a Crocodile And a Crocodile who must Discover a Technical Writer in Nigeria                                  |109   |2005-05-25 |4              |5            |
|284|ENEMY ODDS             |A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India                                 |77    |2005-05-25 |5              |3            |
|651|PACKER MADIGAN         |A Epic Display of a Sumo Wrestler And a Forensic Psychologist who must Build a Woman in An Abandoned Amusement Park             |84    |2005-05-25 |3              |2            |
|117|CANDLES GRAPES         |A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House                      |135   |2005-05-25 |6              |3            |
|571|METAL ARMAGEDDON       |A Thrilling Display of a Lumberjack And a Crocodile who must Meet a Monkey in A Baloon Factory                                  |161   |2005-05-25 |6              |8            |
|134|CHAMPION FLATLINERS    |A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery                                                   |51    |2005-05-25 |4              |6            |
|82 |BLOOD ARGONAUTS        |A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse                                      |71    |2005-05-25 |3              |6            |
|735|ROBBERS JOON           |A Thoughtful Story of a Mad Scientist And a Waitress who must Confront a Forensic Psychologist in Soviet Georgia                |102   |2005-05-25 |7              |9            |
|932|VALLEY PACKER          |A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin                                    |73    |2005-05-25 |3              |2            |
|173|CONFESSIONS MAGUIRE    |A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon                                            |65    |2005-05-25 |7              |5            |
|791|SHOW LORD              |A Fanciful Saga of a Student And a Girl who must Find a Butler in Ancient Japan                                                 |167   |2005-05-25 |3              |10           |
|621|NETWORK PEAK           |A Unbelieveable Reflection of a Butler And a Boat who must Outgun a Mad Scientist in California                                 |75    |2005-05-25 |5              |9            |
|724|REMEMBER DIARY         |A Insightful Tale of a Technical Writer And a Waitress who must Conquer a Monkey in Ancient India                               |110   |2005-05-25 |5              |5            |
|233|DISCIPLE MOTHER        |A Touching Reflection of a Mad Scientist And a Boat who must Face a Moose in A Shark Tank                                       |141   |2005-05-25 |3              |4            |
|893|TITANS JERK            |A Unbelieveable Panorama of a Feminist And a Sumo Wrestler who must Challenge a Technical Writer in Ancient China               |91    |2005-05-25 |4              |9            |
|814|SNATCH SLIPPER         |A Insightful Panorama of a Woman And a Feminist who must Defeat a Forensic Psychologist in Berlin                               |110   |2005-05-25 |6              |3            |
|465|INTERVIEW LIAISONS     |A Action-Packed Reflection of a Student And a Butler who must Discover a Database Administrator in A Manhattan Penthouse        |59    |2005-05-25 |4              |8            |
|649|OZ LIAISONS            |A Epic Yarn of a Mad Scientist And a Cat who must Confront a Womanizer in A Baloon Factory                                      |85    |2005-05-25 |4              |2            |
|982|WOMEN DORADO           |A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia                                   |126   |2005-05-25 |4              |7            |
|164|COAST RAINBOW          |A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert                            |55    |2005-05-25 |4              |4            |
|973|WIFE TURN              |A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan                                |183   |2005-05-25 |3              |1            |
|931|VALENTINE VANISHING    |A Thrilling Display of a Husband And a Butler who must Reach a Pastry Chef in California                                        |48    |2005-05-25 |7              |6            |
|191|CROOKED FROGMEN        |A Unbelieveable Drama of a Hunter And a Database Administrator who must Battle a Crocodile in An Abandoned Amusement Park       |143   |2005-05-25 |6              |6            |
|300|FALCON VOLUME          |A Fateful Saga of a Sumo Wrestler And a Hunter who must Redeem a A Shark in New Orleans                                         |102   |2005-05-25 |5              |4            |
|8  |AIRPORT POLLOCK        |A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India                                                   |54    |2005-05-25 |6              |7            |
|234|DISTURBING SCARFACE    |A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat                                        |94    |2005-05-25 |6              |4            |
|638|OPERATION OPERATION    |A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China                                   |156   |2005-05-25 |7              |8            |
|390|GUYS FALCON            |A Boring Story of a Woman And a Feminist who must Redeem a Squirrel in A U-Boat                                                 |84    |2005-05-25 |4              |1            |
|48 |BACKLASH UNDEFEATED    |A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery                                  |118   |2005-05-25 |3              |5            |
|212|DARN FORRESTER         |A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat                                   |185   |2005-05-25 |7              |8            |
|445|HYDE DOCTOR            |A Fanciful Documentary of a Boy And a Woman who must Redeem a Womanizer in A Jet Boat                                           |100   |2005-05-25 |5              |3            |
|440|HUNGER ROOF            |A Unbelieveable Yarn of a Student And a Database Administrator who must Outgun a Husband in An Abandoned Mine Shaft             |105   |2005-05-25 |6              |8            |
|941|VIDEOTAPE ARSENIC      |A Lacklusture Display of a Girl And a Astronaut who must Succumb a Student in Australia                                         |145   |2005-05-25 |4              |4            |
|902|TRADING PINOCCHIO      |A Emotional Character Study of a Student And a Explorer who must Discover a Frisbee in The First Manned Space Station           |170   |2005-05-25 |6              |10           |
|869|SUSPECTS QUILLS        |A Emotional Epistle of a Pioneer And a Crocodile who must Battle a Man in A Manhattan Penthouse                                 |47    |2005-05-25 |4              |5            |
|177|CONNECTICUT TRAMP      |A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank                                     |172   |2005-05-25 |4              |5            |
|738|ROCKETEER MOTHER       |A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank                    |178   |2005-05-25 |3              |6            |
|89 |BORROWERS BEDAZZLED    |A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House                            |63    |2005-05-25 |7              |5            |
|491|JUMPING WRATH          |A Touching Epistle of a Monkey And a Feminist who must Discover a Boat in Berlin                                                |74    |2005-05-25 |4              |8            |
|21 |AMERICAN CIRCUS        |A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank                             |129   |2005-05-25 |3              |9            |
|500|KISS GLORY             |A Lacklusture Reflection of a Girl And a Husband who must Find a Robot in The Canadian Rockies                                  |163   |2005-05-25 |5              |6            |
|569|MENAGERIE RUSHMORE     |A Unbelieveable Panorama of a Composer And a Butler who must Overcome a Database Administrator in The First Manned Space Station|147   |2005-05-25 |7              |7            |
|898|TOURIST PELICAN        |A Boring Story of a Butler And a Astronaut who must Outrace a Pioneer in Australia                                              |152   |2005-05-25 |4              |4            |
|73 |BINGO TALENTED         |A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria                                               |150   |2005-05-25 |5              |4            |
|142|CHICKEN HELLFIGHTERS   |A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia                                      |122   |2005-05-25 |3              |2            |
|176|CONGENIALITY QUEST     |A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon                                        |87    |2005-05-25 |6              |8            |
|963|WATCH TRACY            |A Fast-Paced Yarn of a Dog And a Frisbee who must Conquer a Hunter in Nigeria                                                   |78    |2005-05-25 |5              |4            |
|186|CRAFT OUTFIELD         |A Lacklusture Display of a Explorer And a Hunter who must Succumb a Database Administrator in A Baloon Factory                  |64    |2005-05-25 |6              |2            |
|368|GONE TROUBLE           |A Insightful Character Study of a Mad Cow And a Forensic Psychologist who must Conquer a A Shark in A Manhattan Penthouse       |84    |2005-05-25 |7              |7            |
|852|STRANGELOVE DESIRE     |A Awe-Inspiring Panorama of a Lumberjack And a Waitress who must Defeat a Crocodile in An Abandoned Amusement Park              |103   |2005-05-25 |4              |6            |
|313|FIDELITY DEVIL         |A Awe-Inspiring Drama of a Technical Writer And a Composer who must Reach a Pastry Chef in A U-Boat                             |118   |2005-05-26 |5              |9            |
|138|CHARIOTS CONSPIRACY    |A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station                       |71    |2005-05-26 |5              |3            |
|924|UNFORGIVEN ZOOLANDER   |A Taut Epistle of a Monkey And a Sumo Wrestler who must Vanquish a A Shark in A Baloon Factory                                  |129   |2005-05-26 |7              |6            |
|242|DOOM DANCING           |A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention                           |68    |2005-05-26 |4              |7            |
|202|DADDY PITTSBURGH       |A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico                                      |161   |2005-05-26 |5              |6            |
|646|OUTBREAK DIVINE        |A Unbelieveable Yarn of a Database Administrator And a Woman who must Succumb a A Shark in A U-Boat                             |169   |2005-05-26 |6              |4            |
|575|MIDSUMMER GROUNDHOG    |A Fateful Panorama of a Moose And a Dog who must Chase a Crocodile in Ancient Japan                                             |48    |2005-05-26 |3              |8            |
|849|STORM HAPPINESS        |A Insightful Drama of a Feminist And a A Shark who must Vanquish a Boat in A Shark Tank                                         |57    |2005-05-26 |6              |1            |
|299|FACTORY DRAGON         |A Action-Packed Saga of a Teacher And a Frisbee who must Escape a Lumberjack in The Sahara Desert                               |144   |2005-05-26 |4              |3            |
|65 |BEHAVIOR RUNAWAY       |A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin                                     |100   |2005-05-26 |3              |6            |
|702|PULP BEVERLY           |A Unbelieveable Display of a Dog And a Crocodile who must Outrace a Man in Nigeria                                              |89    |2005-05-26 |4              |1            |
|197|CRUSADE HONEY          |A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park                      |112   |2005-05-26 |4              |0            |
|523|LIGHTS DEER            |A Unbelieveable Epistle of a Dog And a Woman who must Confront a Moose in The Gulf of Mexico                                    |174   |2005-05-26 |7              |8            |
|757|SAGEBRUSH CLUELESS     |A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan                                            |106   |2005-05-26 |4              |3            |
|410|HEAVEN FREEDOM         |A Intrepid Story of a Butler And a Car who must Vanquish a Man in New Orleans                                                   |48    |2005-05-26 |7              |6            |
|646|OUTBREAK DIVINE        |A Unbelieveable Yarn of a Database Administrator And a Woman who must Succumb a A Shark in A U-Boat                             |169   |2005-05-26 |6              |1            |
|272|EDGE KISSING           |A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat                                      |153   |2005-05-26 |5              |1            |
|501|KISSING DOLLS          |A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station                  |141   |2005-05-26 |3              |9            |
|239|DOGMA FAMILY           |A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans                |122   |2005-05-26 |5              |2            |
|600|MOTIONS DETAILS        |A Awe-Inspiring Reflection of a Dog And a Student who must Kill a Car in An Abandoned Fun House                                 |166   |2005-05-26 |5              |7            |
|850|STORY SIDE             |A Lacklusture Saga of a Boy And a Cat who must Sink a Dentist in An Abandoned Mine Shaft                                        |163   |2005-05-26 |7              |5            |
|190|CREEPERS KANE          |A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat                                        |172   |2005-05-26 |5              |1            |
|595|MOON BUNCH             |A Beautiful Tale of a Astronaut And a Mad Cow who must Challenge a Cat in A Baloon Factory                                      |83    |2005-05-26 |7              |7            |
|382|GRIT CLOCKWORK         |A Thoughtful Display of a Dentist And a Squirrel who must Confront a Lumberjack in A Shark Tank                                 |137   |2005-05-26 |3              |1            |
|806|SLEEPY JAPANESE        |A Emotional Epistle of a Moose And a Composer who must Fight a Technical Writer in The Outback                                  |137   |2005-05-26 |4              |7            |
|979|WITCHES PANIC          |A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria                                          |100   |2005-05-26 |6              |8            |
|630|NOTTING SPEAKEASY      |A Thoughtful Display of a Butler And a Womanizer who must Find a Waitress in The Canadian Rockies                               |48    |2005-05-26 |7              |3            |
|786|SHEPHERD MIDSUMMER     |A Thoughtful Drama of a Robot And a Womanizer who must Kill a Lumberjack in A Baloon                                            |113   |2005-05-26 |7              |2            |
|862|SUMMER SCARFACE        |A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank                                          |53    |2005-05-26 |5              |2            |
|947|VISION TORQUE          |A Thoughtful Documentary of a Dog And a Man who must Sink a Man in A Shark Tank                                                 |59    |2005-05-26 |5              |8            |
|187|CRANES RESERVOIR       |A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory                       |57    |2005-05-26 |5              |6            |
