|film_id|title                    |category   |rating|total_rental_income|last_update|
|117    |CANDLES GRAPES           |Games      |NC-17 |4.99               |2006-02-15 |
|120    |CARIBBEAN LIBERTY        |Sports     |NC-17 |4.99               |2006-02-15 |
|123    |CASABLANCA SUPER         |Travel     |G     |4.99               |2006-02-15 |
|124    |CASPER DRAGONFLY         |Children   |PG-13 |4.99               |2006-02-15 |
|126    |CASUALTIES ENCINO        |Action     |G     |4.99               |2006-02-15 |
|127    |CAT CONEHEADS            |Comedy     |G     |4.99               |2006-02-15 |
|133    |CHAMBER ITALIAN          |Music      |NC-17 |4.99               |2006-02-15 |
|141    |CHICAGO NORTH            |Games      |PG-13 |4.99               |2006-02-15 |
|145    |CHISUM BEHAVIOR          |Family     |G     |4.99               |2006-02-15 |
|151    |CINCINATTI WHISPERER     |Sci-Fi     |NC-17 |4.99               |2006-02-15 |
|156    |CLERKS ANGELS            |Documentary|G     |4.99               |2006-02-15 |
|159    |CLOSER BANG              |Comedy     |R     |4.99               |2006-02-15 |
|161    |CLUE GRAIL               |Music      |NC-17 |4.99               |2006-02-15 |
|165    |COLDBLOODED DARLING      |Sci-Fi     |G     |4.99               |2006-02-15 |
|167    |COMA HEAD                |Travel     |NC-17 |4.99               |2006-02-15 |
|170    |COMMAND DARLING          |Foreign    |PG-13 |4.99               |2006-02-15 |
|171    |COMMANDMENTS EXPRESS     |Horror     |R     |4.99               |2006-02-15 |
|172    |CONEHEADS SMOOCHY        |Drama      |NC-17 |4.99               |2006-02-15 |
|173    |CONFESSIONS MAGUIRE      |Drama      |PG-13 |4.99               |2006-02-15 |
|174    |CONFIDENTIAL INTERVIEW   |Music      |NC-17 |4.99               |2006-02-15 |
|177    |CONNECTICUT TRAMP        |Sci-Fi     |R     |4.99               |2006-02-15 |
|179    |CONQUERER NUTS           |Drama      |G     |4.99               |2006-02-15 |
|182    |CONTROL ANTHEM           |Comedy     |G     |4.99               |2006-02-15 |
|183    |CONVERSATION DOWNHILL    |Family     |R     |4.99               |2006-02-15 |
|190    |CREEPERS KANE            |Classics   |NC-17 |4.99               |2006-02-15 |
|192    |CROSSING DIVORCE         |Foreign    |R     |4.99               |2006-02-15 |
|195    |CROWDS TELEMARK          |Sci-Fi     |R     |4.99               |2006-02-15 |
|202    |DADDY PITTSBURGH         |Comedy     |G     |4.99               |2006-02-15 |
|203    |DAISY MENAGERIE          |Sci-Fi     |G     |4.99               |2006-02-15 |
|210    |DARKO DORADO             |Action     |NC-17 |4.99               |2006-02-15 |
|211    |DARLING BREAKING         |Games      |PG-13 |4.99               |2006-02-15 |
|212    |DARN FORRESTER           |Action     |G     |4.99               |2006-02-15 |
|214    |DAUGHTER MADIGAN         |Children   |PG-13 |4.99               |2006-02-15 |
|216    |DAY UNFAITHFUL           |New        |G     |4.99               |2006-02-15 |
|217    |DAZED PUNK               |Games      |G     |4.99               |2006-02-15 |
|219    |DEEP CRUSADE             |Documentary|PG-13 |4.99               |2006-02-15 |
|222    |DESERT POSEIDON          |Horror     |R     |4.99               |2006-02-15 |
|224    |DESPERATE TRAINSPOTTING  |Travel     |G     |4.99               |2006-02-15 |
|226    |DESTINY SATURDAY         |New        |G     |4.99               |2006-02-15 |
|227    |DETAILS PACKER           |Games      |R     |4.99               |2006-02-15 |
|229    |DEVIL DESIRE             |Action     |R     |4.99               |2006-02-15 |
|239    |DOGMA FAMILY             |Animation  |G     |4.99               |2006-02-15 |
|243    |DOORS PRESIDENT          |Animation  |NC-17 |4.99               |2006-02-15 |
|244    |DORADO NOTTING           |Music      |NC-17 |4.99               |2006-02-15 |
|246    |DOUBTFIRE LABYRINTH      |Foreign    |R     |4.99               |2006-02-15 |
|248    |DOZEN LION               |Documentary|NC-17 |4.99               |2006-02-15 |
|251    |DRAGONFLY STRANGERS      |New        |NC-17 |4.99               |2006-02-15 |
|253    |DRIFTER COMMANDMENTS     |Action     |PG-13 |4.99               |2006-02-15 |
|255    |DRIVING POLISH           |Music      |NC-17 |4.99               |2006-02-15 |
|256    |DROP WATERFRONT          |Sports     |R     |4.99               |2006-02-15 |
|260    |DUDE BLINDNESS           |Sports     |G     |4.99               |2006-02-15 |
|263    |DURHAM PANKY             |Sports     |R     |4.99               |2006-02-15 |
|267    |EAGLES PANKY             |New        |NC-17 |4.99               |2006-02-15 |
|268    |EARLY HOME               |Animation  |NC-17 |4.99               |2006-02-15 |
|271    |EASY GLADIATOR           |Action     |G     |4.99               |2006-02-15 |
|272    |EDGE KISSING             |Drama      |NC-17 |4.99               |2006-02-15 |
|276    |ELEMENT FREDDY           |Comedy     |NC-17 |4.99               |2006-02-15 |
|277    |ELEPHANT TROJAN          |Horror     |PG-13 |4.99               |2006-02-15 |
|278    |ELF MURDER               |Music      |NC-17 |4.99               |2006-02-15 |
|279    |ELIZABETH SHANE          |Sports     |NC-17 |4.99               |2006-02-15 |
|284    |ENEMY ODDS               |Music      |NC-17 |4.99               |2006-02-15 |
|289    |EVE RESURRECTION         |New        |G     |4.99               |2006-02-15 |
|294    |EXPECATIONS NATURAL      |Travel     |PG-13 |4.99               |2006-02-15 |
|300    |FALCON VOLUME            |Animation  |PG-13 |4.99               |2006-02-15 |
|307    |FELLOWSHIP AUTUMN        |Travel     |NC-17 |4.99               |2006-02-15 |
|310    |FEVER EMPIRE             |Games      |R     |4.99               |2006-02-15 |
|312    |FIDDLER LOST             |Sci-Fi     |R     |4.99               |2006-02-15 |
|313    |FIDELITY DEVIL           |Horror     |G     |4.99               |2006-02-15 |
|316    |FIRE WOLVES              |Games      |R     |4.99               |2006-02-15 |
|320    |FLAMINGOS CONNECTICUT    |New        |PG-13 |4.99               |2006-02-15 |
|321    |FLASH WARS               |New        |NC-17 |4.99               |2006-02-15 |
|323    |FLIGHT LIES              |Sports     |R     |4.99               |2006-02-15 |
|324    |FLINTSTONES HAPPINESS    |Comedy     |PG-13 |4.99               |2006-02-15 |
|330    |FORRESTER COMANCHEROS    |Animation  |NC-17 |4.99               |2006-02-15 |
|334    |FREDDY STORM             |Horror     |NC-17 |4.99               |2006-02-15 |
|340    |FRONTIER CABIN           |New        |PG-13 |4.99               |2006-02-15 |
|342    |FUGITIVE MAGUIRE         |Travel     |R     |4.99               |2006-02-15 |
|346    |GALAXY SWEETHEARTS       |Classics   |R     |4.99               |2006-02-15 |
|347    |GAMES BOWFINGER          |Travel     |PG-13 |4.99               |2006-02-15 |
|350    |GARDEN ISLAND            |Sci-Fi     |G     |4.99               |2006-02-15 |
|354    |GHOST GROUNDHOG          |Children   |G     |4.99               |2006-02-15 |
|365    |GOLD RIVER               |Comedy     |R     |4.99               |2006-02-15 |
|371    |GOSFORD DONNIE           |Action     |G     |4.99               |2006-02-15 |
|372    |GRACELAND DYNAMITE       |Sports     |R     |4.99               |2006-02-15 |
|381    |GRINCH MASSAGE           |Games      |R     |4.99               |2006-02-15 |
|384    |GROSSE WONDERFUL         |Music      |R     |4.99               |2006-02-15 |
|385    |GROUNDHOG UNCUT          |Comedy     |PG-13 |4.99               |2006-02-15 |
|386    |GUMP DATE                |Travel     |NC-17 |4.99               |2006-02-15 |
|390    |GUYS FALCON              |Sci-Fi     |R     |4.99               |2006-02-15 |
|392    |HALL CASSIDY             |Children   |NC-17 |4.99               |2006-02-15 |
|396    |HANGING DEEP             |Drama      |G     |4.99               |2006-02-15 |
|398    |HANOVER GALAXY           |Music      |NC-17 |4.99               |2006-02-15 |
|403    |HARRY IDAHO              |Drama      |PG-13 |4.99               |2006-02-15 |
|405    |HAUNTED ANTITRUST        |Travel     |NC-17 |4.99               |2006-02-15 |
|408    |HEAD STRANGER            |Games      |R     |4.99               |2006-02-15 |
|409    |HEARTBREAKERS BRIGHT     |Children   |G     |4.99               |2006-02-15 |
|411    |HEAVENLY GUN             |Music      |NC-17 |4.99               |2006-02-15 |
|412    |HEAVYWEIGHTS BEAST       |Documentary|G     |4.99               |2006-02-15 |
|421    |HOLIDAY GAMES            |Foreign    |PG-13 |4.99               |2006-02-15 |
|422    |HOLLOW JEOPARDY          |Sci-Fi     |NC-17 |4.99               |2006-02-15 |
|426    |HOME PITY                |Music      |R     |4.99               |2006-02-15 |
|435    |HOTEL HAPPINESS          |Foreign    |PG-13 |4.99               |2006-02-15 |
|439    |HUNCHBACK IMPOSSIBLE     |Drama      |PG-13 |4.99               |2006-02-15 |
|444    |HUSTLER PARTY            |Comedy     |NC-17 |4.99               |2006-02-15 |
|451    |IGBY MAKER               |Travel     |NC-17 |4.99               |2006-02-15 |
|455    |IMPOSSIBLE PREJUDICE     |Foreign    |NC-17 |4.99               |2006-02-15 |
|456    |INCH JET                 |Animation  |NC-17 |4.99               |2006-02-15 |
|459    |INFORMER DOUBLE          |Foreign    |NC-17 |4.99               |2006-02-15 |
|460    |INNOCENT USUAL           |Foreign    |PG-13 |4.99               |2006-02-15 |
|465    |INTERVIEW LIAISONS       |New        |R     |4.99               |2006-02-15 |
|466    |INTOLERABLE INTENTIONS   |Documentary|PG-13 |4.99               |2006-02-15 |
|470    |ISHTAR ROCKETEER         |Animation  |R     |4.99               |2006-02-15 |
|472    |ITALIAN AFRICAN          |Travel     |G     |4.99               |2006-02-15 |
|486    |JET NEIGHBORS            |Foreign    |R     |4.99               |2006-02-15 |
|487    |JINGLE SAGEBRUSH         |Classics   |PG-13 |4.99               |2006-02-15 |
|499    |KING EVOLUTION           |Family     |NC-17 |4.99               |2006-02-15 |
|500    |KISS GLORY               |Foreign    |PG-13 |4.99               |2006-02-15 |
|501    |KISSING DOLLS            |Action     |R     |4.99               |2006-02-15 |
|508    |LAMBS CINCINATTI         |Games      |PG-13 |4.99               |2006-02-15 |
|510    |LAWLESS VISION           |Animation  |G     |4.99               |2006-02-15 |
|512    |LEAGUE HELLFIGHTERS      |Classics   |PG-13 |4.99               |2006-02-15 |
|521    |LIES TREATMENT           |Drama      |NC-17 |4.99               |2006-02-15 |
|543    |MADIGAN DORADO           |Travel     |R     |4.99               |2006-02-15 |
|556    |MALTESE HOPE             |Games      |PG-13 |4.99               |2006-02-15 |
|563    |MASSACRE USUAL           |Games      |R     |4.99               |2006-02-15 |
|565    |MATRIX SNOWMAN           |Foreign    |PG-13 |4.99               |2006-02-15 |
|568    |MEMENTO ZOOLANDER        |Comedy     |NC-17 |4.99               |2006-02-15 |
|570    |MERMAID INSECTS          |Sports     |NC-17 |4.99               |2006-02-15 |
|575    |MIDSUMMER GROUNDHOG      |Documentary|G     |4.99               |2006-02-15 |
|578    |MILLION ACE              |Classics   |PG-13 |4.99               |2006-02-15 |
|579    |MINDS TRUMAN             |Action     |PG-13 |4.99               |2006-02-15 |
|580    |MINE TITANS              |New        |PG-13 |4.99               |2006-02-15 |
|583    |MISSION ZOOLANDER        |Animation  |PG-13 |4.99               |2006-02-15 |
|587    |MOD SECRETARY            |Documentary|NC-17 |4.99               |2006-02-15 |
|588    |MODEL FISH               |Children   |NC-17 |4.99               |2006-02-15 |
|596    |MOONSHINE CABIN          |Games      |PG-13 |4.99               |2006-02-15 |
|597    |MOONWALKER FOOL          |Games      |G     |4.99               |2006-02-15 |
|614    |NAME DETECTIVE           |Games      |PG-13 |4.99               |2006-02-15 |
|627    |NORTH TEQUILA            |Documentary|NC-17 |4.99               |2006-02-15 |
|632    |NUTS TIES                |New        |NC-17 |4.99               |2006-02-15 |
|633    |OCTOBER SUBMARINE        |Classics   |PG-13 |4.99               |2006-02-15 |
|640    |OPUS ICE                 |Foreign    |R     |4.99               |2006-02-15 |
|648    |OUTLAW HANKY             |Travel     |PG-13 |4.99               |2006-02-15 |
|653    |PANIC CLUB               |Horror     |G     |4.99               |2006-02-15 |
|654    |PANKY SUBMARINE          |Games      |G     |4.99               |2006-02-15 |
|655    |PANTHER REDS             |Sci-Fi     |NC-17 |4.99               |2006-02-15 |
|659    |PARK CITIZEN             |Action     |PG-13 |4.99               |2006-02-15 |
|661    |PAST SUICIDES            |Foreign    |PG-13 |4.99               |2006-02-15 |
|666    |PAYCHECK WAIT            |Drama      |PG-13 |4.99               |2006-02-15 |
|671    |PERDITION FARGO          |Sports     |NC-17 |4.99               |2006-02-15 |
|676    |PHILADELPHIA WIFE        |Sports     |PG-13 |4.99               |2006-02-15 |
|682    |PITTSBURGH HUNCHBACK     |Family     |PG-13 |4.99               |2006-02-15 |
|683    |PITY BOUND               |Drama      |NC-17 |4.99               |2006-02-15 |
|685    |PLATOON INSTINCT         |New        |PG-13 |4.99               |2006-02-15 |
|686    |PLUTO OLEANDER           |New        |R     |4.99               |2006-02-15 |
|691    |POSEIDON FOREVER         |Sports     |PG-13 |4.99               |2006-02-15 |
|694    |PREJUDICE OLEANDER       |Classics   |PG-13 |4.99               |2006-02-15 |
|708    |QUILLS BULL              |Documentary|R     |4.99               |2006-02-15 |
|710    |RAGE GAMES               |Family     |R     |4.99               |2006-02-15 |
|711    |RAGING AIRPLANE          |Sci-Fi     |R     |4.99               |2006-02-15 |
|721    |REDS POCUS               |Music      |PG-13 |4.99               |2006-02-15 |
|725    |REQUIEM TYCOON           |Classics   |R     |4.99               |2006-02-15 |
|731    |RIGHT CRANES             |Classics   |PG-13 |4.99               |2006-02-15 |
|734    |ROAD ROXANNE             |Documentary|R     |4.99               |2006-02-15 |
|739    |ROCKY WAR                |Drama      |PG-13 |4.99               |2006-02-15 |
|745    |ROSES TREASURE           |Sports     |PG-13 |4.99               |2006-02-15 |
|749    |RULES HUMAN              |Horror     |R     |4.99               |2006-02-15 |
|763    |SATISFACTION CONFIDENTIAL|Sports     |G     |4.99               |2006-02-15 |
|764    |SATURDAY LAMBS           |Sports     |G     |4.99               |2006-02-15 |
|765    |SATURN NAME                |Comedy     |R     |4.99               |2006-02-15 |
|767    |SCALAWAG DUCK              |Music      |NC-17 |4.99               |2006-02-15 |
|768    |SCARFACE BANG              |Children   |PG-13 |4.99               |2006-02-15 |
|769    |SCHOOL JACKET              |Foreign    |PG-13 |4.99               |2006-02-15 |
|771    |SCORPION APOLLO            |Drama      |NC-17 |4.99               |2006-02-15 |
|775    |SEATTLE EXPECATIONS        |Drama      |PG-13 |4.99               |2006-02-15 |
|778    |SECRETS PARADISE           |Family     |G     |4.99               |2006-02-15 |
|779    |SENSE GREEK                |Sports     |R     |4.99               |2006-02-15 |
|781    |SEVEN SWARM                |Games      |R     |4.99               |2006-02-15 |
|791    |SHOW LORD                  |Documentary|PG-13 |4.99               |2006-02-15 |
|801    |SISTER FREDDY              |Children   |PG-13 |4.99               |2006-02-15 |
|803    |SLACKER LIAISONS           |Drama      |R     |4.99               |2006-02-15 |
|804    |SLEEPING SUSPECTS          |Horror     |PG-13 |4.99               |2006-02-15 |
|805    |SLEEPLESS MONSOON          |Animation  |G     |4.99               |2006-02-15 |
|817    |SOLDIERS EVOLUTION         |Sci-Fi     |R     |4.99               |2006-02-15 |
|818    |SOMETHING DUCK             |Drama      |NC-17 |4.99               |2006-02-15 |
|824    |SPARTACUS CHEAPER          |Family     |NC-17 |4.99               |2006-02-15 |
|826    |SPEED SUIT                 |Travel     |PG-13 |4.99               |2006-02-15 |
|827    |SPICE SORORITY             |Drama      |NC-17 |4.99               |2006-02-15 |
|838    |STAGECOACH ARMAGEDDON      |Action     |R     |4.99               |2006-02-15 |
|843    |STEEL SANTA                |Classics   |NC-17 |4.99               |2006-02-15 |
|845    |STEPMOM DREAM              |Foreign    |NC-17 |4.99               |2006-02-15 |
|846    |STING PERSONAL             |New        |NC-17 |4.99               |2006-02-15 |
|853    |STRANGER STRANGERS         |Children   |G     |4.99               |2006-02-15 |
|854    |STRANGERS GRAFFITI         |Horror     |R     |4.99               |2006-02-15 |
|856    |STREETCAR INTENTIONS       |Horror     |R     |4.99               |2006-02-15 |
|858    |SUBMARINE BED              |Comedy     |R     |4.99               |2006-02-15 |
|860    |SUICIDES SILENCE           |Sci-Fi     |G     |4.99               |2006-02-15 |
|861    |SUIT WALLS                 |Games      |R     |4.99               |2006-02-15 |
|865    |SUNRISE LEAGUE             |Animation  |PG-13 |4.99               |2006-02-15 |
|878    |TEEN APOLLO                |Travel     |G     |4.99               |2006-02-15 |
|884    |TERMINATOR CLUB            |Music      |R     |4.99               |2006-02-15 |
|887    |THIEF PELICAN              |Animation  |PG-13 |4.99               |2006-02-15 |
|888    |THIN SAGEBRUSH             |Documentary|PG-13 |4.99               |2006-02-15 |
|889    |TIES HUNGER                |Children   |R     |4.99               |2006-02-15 |
|892    |TITANIC BOONDOCK           |Animation  |R     |4.99               |2006-02-15 |
|897    |TORQUE BOUND               |Drama      |G     |4.99               |2006-02-15 |
|898    |TOURIST PELICAN            |Sports     |PG-13 |4.99               |2006-02-15 |
|903    |TRAFFIC HOBBIT             |Travel     |G     |4.99               |2006-02-15 |
|904    |TRAIN BUNCH                |Horror     |R     |4.99               |2006-02-15 |
|905    |TRAINSPOTTING STRANGERS    |Comedy     |PG-13 |4.99               |2006-02-15 |
|908    |TRAP GUYS                  |Foreign    |G     |4.99               |2006-02-15 |
|911    |TRIP NEWTON                |Action     |PG-13 |4.99               |2006-02-15 |
|915    |TRUMAN CRAZY               |Action     |G     |4.99               |2006-02-15 |
|919    |TYCOON GATHERING           |Games      |G     |4.99               |2006-02-15 |
|922    |UNDEFEATED DALMATIONS      |Horror     |PG-13 |4.99               |2006-02-15 |
|929    |USUAL UNTOUCHABLES         |Foreign    |PG-13 |4.99               |2006-02-15 |
|933    |VAMPIRE WHALE              |New        |NC-17 |4.99               |2006-02-15 |
|934    |VANILLA DAY                |Games      |NC-17 |4.99               |2006-02-15 |
|938    |VELVET TERMINATOR          |Comedy     |R     |4.99               |2006-02-15 |
|941    |VIDEOTAPE ARSENIC          |Games      |NC-17 |4.99               |2006-02-15 |
|943    |VILLAIN DESPERATE          |Documentary|PG-13 |4.99               |2006-02-15 |
|944    |VIRGIN DAISY               |Drama      |PG-13 |4.99               |2006-02-15 |
|946    |VIRTUAL SPOILERS           |Family     |NC-17 |4.99               |2006-02-15 |
|954    |WAKE JAWS                  |New        |G     |4.99               |2006-02-15 |
|956    |WANDA CHAMBER              |Games      |PG-13 |4.99               |2006-02-15 |
|957    |WAR NOTTING                |Foreign    |G     |4.99               |2006-02-15 |
|961    |WASH HEAVENLY              |Foreign    |R     |4.99               |2006-02-15 |
|964    |WATERFRONT DELIVERANCE     |Action     |G     |4.99               |2006-02-15 |
|968    |WEREWOLF LOLA              |Action     |G     |4.99               |2006-02-15 |
|969    |WEST LION                  |Drama      |G     |4.99               |2006-02-15 |
|971    |WHALE BIKINI               |Foreign    |PG-13 |4.99               |2006-02-15 |
|972    |WHISPERER GIANT            |Sci-Fi     |PG-13 |4.99               |2006-02-15 |
|973    |WIFE TURN                  |Documentary|NC-17 |4.99               |2006-02-15 |
|979    |WITCHES PANIC              |Drama      |NC-17 |4.99               |2006-02-15 |
|989    |WORKING MICROCOSMOS        |Travel     |R     |4.99               |2006-02-15 |
|994    |WYOMING STORM              |New        |PG-13 |4.99               |2006-02-15 |
|995    |YENTL IDAHO                |Horror     |R     |4.99               |2006-02-15 |
|1,000  |ZORRO ARK                  |Comedy     |NC-17 |4.99               |2006-02-15 |
|3      |ADAPTATION HOLES           |Documentary|NC-17 |2.99               |2006-02-15 |
|4      |AFFAIR PREJUDICE           |Horror     |G     |2.99               |2006-02-15 |
|5      |AFRICAN EGG                |Family     |G     |2.99               |2006-02-15 |
|9      |ALABAMA DEVIL              |Horror     |PG-13 |2.99               |2006-02-15 |
|15     |ALIEN CENTER               |Foreign    |NC-17 |2.99               |2006-02-15 |
|16     |ALLEY EVOLUTION            |Foreign    |NC-17 |2.99               |2006-02-15 |
|22     |AMISTAD MIDSUMMER          |New        |G     |2.99               |2006-02-15 |
|24     |ANALYZE HOOSIERS           |Horror     |R     |2.99               |2006-02-15 |
|25     |ANGELS LIFE                |New        |G     |2.99               |2006-02-15 |
|29     |ANTITRUST TOMATOES         |Action     |NC-17 |2.99               |2006-02-15 |
|30     |ANYTHING SAVANNAH          |Horror     |R     |2.99               |2006-02-15 |
|33     |APOLLO TEEN                |Drama      |PG-13 |2.99               |2006-02-15 |
|35     |ARACHNOPHOBIA ROLLERCOASTER|Horror     |PG-13 |2.99               |2006-02-15 |
|42     |ARTIST COLDBLOODED         |Sports     |NC-17 |2.99               |2006-02-15 |
|43     |ATLANTIS CAUSE             |Family     |G     |2.99               |2006-02-15 |
|49     |BADMAN DAWN                |Sci-Fi     |R     |2.99               |2006-02-15 |
|50     |BAKED CLEOPATRA            |Family     |G     |2.99               |2006-02-15 |
|51     |BALLOON HOMEWARD           |Music      |NC-17 |2.99               |2006-02-15 |
|53     |BANG KWAI                  |Family     |NC-17 |2.99               |2006-02-15 |
|55     |BARBARELLA STREETCAR       |Sci-Fi     |G     |2.99               |2006-02-15 |
|56     |BAREFOOT MANCHURIAN        |Action     |G     |2.99               |2006-02-15 |
|57     |BASIC EASY                 |Travel     |PG-13 |2.99               |2006-02-15 |
|58     |BEACH HEARTBREAKERS        |Documentary|G     |2.99               |2006-02-15 |
|59     |BEAR GRACELAND             |Children   |R     |2.99               |2006-02-15 |
|62     |BED HIGHBALL               |Documentary|NC-17 |2.99               |2006-02-15 |
|67     |BERETS AGENT               |Action     |PG-13 |2.99               |2006-02-15 |
|69     |BEVERLY OUTLAW             |Sci-Fi     |R     |2.99               |2006-02-15 |
|73     |BINGO TALENTED             |Sci-Fi     |PG-13 |2.99               |2006-02-15 |
|80     |BLANKET BEVERLY            |Family     |G     |2.99               |2006-02-15 |
|83     |BLUES INSTINCT             |Family     |G     |2.99               |2006-02-15 |
|94     |BRAVEHEART HUMAN           |Family     |PG-13 |2.99               |2006-02-15 |
|96     |BREAKING HOME              |New        |PG-13 |2.99               |2006-02-15 |
|104    |BUGSY SONG                 |Foreign    |G     |2.99               |2006-02-15 |
|106    |BULWORTH COMMANDMENTS      |Games      |G     |2.99               |2006-02-15 |
|107    |BUNCH MINDS                |Drama      |G     |2.99               |2006-02-15 |
|115    |CAMPUS REMEMBER            |Action     |R     |2.99               |2006-02-15 |
|116    |CANDIDATE PERDITION        |Classics   |R     |2.99               |2006-02-15 |
|125    |CASSIDY WYOMING            |Travel     |NC-17 |2.99               |2006-02-15 |
|129    |CAUSE DATE                 |Documentary|R     |2.99               |2006-02-15 |
|135    |CHANCE RESURRECTION        |Sports     |R     |2.99               |2006-02-15 |
|136    |CHAPLIN LICENSE            |New        |NC-17 |2.99               |2006-02-15 |
|138    |CHARIOTS CONSPIRACY        |Sci-Fi     |R     |2.99               |2006-02-15 |
|146    |CHITTY LOCK                |Drama      |G     |2.99               |2006-02-15 |
|148    |CHOCOLATE DUCK             |Foreign    |R     |2.99               |2006-02-15 |
|152    |CIRCUS YOUTH               |Children   |PG-13 |2.99               |2006-02-15 |
|154    |CLASH FREDDY               |Animation  |G     |2.99               |2006-02-15 |
|158    |CLONES PINOCCHIO           |Music      |R     |2.99               |2006-02-15 |
|162    |CLUELESS BUCKET            |Action     |R     |2.99               |2006-02-15 |
|166    |COLOR PHILADELPHIA         |Classics   |G     |2.99               |2006-02-15 |
|169    |COMFORTS RUSH              |Travel     |NC-17 |2.99               |2006-02-15 |
|175    |CONFUSED CANDLES           |Family     |PG-13 |2.99               |2006-02-15 |
|180    |CONSPIRACY SPIRIT          |Classics   |PG-13 |2.99               |2006-02-15 |
|181    |CONTACT ANONYMOUS          |Travel     |PG-13 |2.99               |2006-02-15 |
|184    |CORE SUIT                  |Classics   |PG-13 |2.99               |2006-02-15 |
|187    |CRANES RESERVOIR           |Sports     |NC-17 |2.99               |2006-02-15 |
|193    |CROSSROADS CASUALTIES      |Animation  |G     |2.99               |2006-02-15 |
|197    |CRUSADE HONEY              |Sports     |R     |2.99               |2006-02-15 |
|198    |CRYSTAL BREAKING           |Foreign    |NC-17 |2.99               |2006-02-15 |
|199    |CUPBOARD SINNERS           |Documentary|R     |2.99               |2006-02-15 |
|208    |DARES PLUTO                |Animation  |PG-13 |2.99               |2006-02-15 |
|209    |DARKNESS WAR               |Drama      |NC-17 |2.99               |2006-02-15 |
|220    |DEER VIRGINIAN             |Music      |NC-17 |2.99               |2006-02-15 |
|223    |DESIRE ALIEN               |Animation  |NC-17 |2.99               |2006-02-15 |
|230    |DIARY PANIC                |Drama      |G     |2.99               |2006-02-15 |
|231    |DINOSAUR SECRETARY         |Family     |R     |2.99               |2006-02-15 |
|232    |DIRTY ACE                  |Games      |NC-17 |2.99               |2006-02-15 |
|234    |DISTURBING SCARFACE        |Sci-Fi     |R     |2.99               |2006-02-15 |
|235    |DIVIDE MONSTER             |Sci-Fi     |PG-13 |2.99               |2006-02-15 |
|236    |DIVINE RESURRECTION        |Games      |R     |2.99               |2006-02-15 |
|237    |DIVORCE SHINING            |Sports     |G     |2.99               |2006-02-15 |
|238    |DOCTOR GRAIL               |Children   |G     |2.99               |2006-02-15 |
|240    |DOLLS RAGE                 |Sci-Fi     |PG-13 |2.99               |2006-02-15 |
|254    |DRIVER ANNIE               |Sports     |PG-13 |2.99               |2006-02-15 |
|259    |DUCK RACER                 |Animation  |NC-17 |2.99               |2006-02-15 |
|264    |DWARFS ALTER               |Games      |G     |2.99               |2006-02-15 |
|286    |ENOUGH RAGING              |Travel     |NC-17 |2.99               |2006-02-15 |
