|id   |title                      |rental_date|total_late_return|
|737  |ROCK INSTINCT              |2005-08-22 |2                |
|763  |SATISFACTION CONFIDENTIAL  |2005-08-22 |2                |
|214  |DAUGHTER MADIGAN           |2005-08-22 |2                |
|810  |SLUMS DUCK                 |2005-08-22 |2                |
|7    |AIRPLANE SIERRA            |2005-08-22 |2                |
|647  |OUTFIELD MASSACRE          |2005-08-22 |2                |
|439  |HUNCHBACK IMPOSSIBLE       |2005-08-22 |2                |
|748  |RUGRATS SHAKESPEARE        |2005-08-22 |2                |
|350  |GARDEN ISLAND              |2005-08-22 |2                |
|759  |SALUTE APOLLO              |2005-08-22 |2                |
|319  |FISH OPUS                  |2005-08-22 |2                |
|414  |HELLFIGHTERS SIERRA        |2005-08-22 |2                |
|941  |VIDEOTAPE ARSENIC          |2005-08-22 |2                |
|4    |AFFAIR PREJUDICE           |2005-08-22 |2                |
|851  |STRAIGHT HOURS             |2005-08-22 |2                |
|973  |WIFE TURN                  |2005-08-22 |2                |
|870  |SWARM GOLD                 |2005-08-22 |2                |
|229  |DEVIL DESIRE               |2005-08-22 |2                |
|162  |CLUELESS BUCKET            |2005-08-23 |2                |
|625  |NONE SPIKING               |2005-08-23 |2                |
|710  |RAGE GAMES                 |2005-08-23 |2                |
|660  |PARTY KNOCK                |2005-08-23 |2                |
|363  |GO PURPLE                  |2005-08-23 |2                |
|406  |HAUNTING PIANIST           |2005-08-23 |2                |
|707  |QUEST MUSSOLINI            |2005-08-23 |2                |
|879  |TELEGRAPH VOYAGE           |2005-08-23 |2                |
|285  |ENGLISH BULWORTH           |2005-08-23 |2                |
|49   |BADMAN DAWN                |2005-08-23 |2                |
|872  |SWEET BROTHERHOOD          |2005-08-23 |2                |
|919  |TYCOON GATHERING           |2005-08-23 |2                |
|606  |MUMMY CREATURES            |2005-08-23 |2                |
|452  |ILLUSION AMELIE            |2005-08-23 |2                |
|81   |BLINDNESS GUN              |2005-08-23 |2                |
|302  |FANTASIA PARK              |2005-08-23 |2                |
|15   |ALIEN CENTER               |2005-08-23 |2                |
|873  |SWEETHEARTS SUSPECTS       |2005-08-23 |2                |
|618  |NECKLACE OUTBREAK          |2005-08-23 |2                |
|641  |ORANGE GRAPES              |2005-08-23 |2                |
|350  |GARDEN ISLAND              |2005-08-23 |2                |
|902  |TRADING PINOCCHIO          |2005-08-23 |2                |
|61   |BEAUTY GREASE              |2005-08-23 |2                |
|662  |PATHS CONTROL              |2005-08-23 |2                |
|295  |EXPENDABLE STALLION        |2005-08-23 |2                |
|458  |INDIAN LOVE                |2005-08-23 |2                |
|31   |APACHE DIVINE              |2005-08-23 |2                |
|670  |PELICAN COMFORTS           |2005-08-23 |2                |
|9    |ALABAMA DEVIL              |2005-08-23 |2                |
|95   |BREAKFAST GOLDFINGER       |2005-08-23 |2                |
|628  |NORTHWEST POLISH           |2005-08-23 |2                |
|555  |MALLRATS UNITED            |2005-08-23 |2                |
|567  |MEET CHOCOLATE             |2005-08-23 |2                |
|247  |DOWNHILL ENOUGH            |2005-08-23 |2                |
|771  |SCORPION APOLLO            |2005-08-23 |2                |
|730  |RIDGEMONT SUBMARINE        |2005-08-23 |2                |
|491  |JUMPING WRATH              |2005-05-25 |2                |
|775  |SEATTLE EXPECATIONS        |2005-05-26 |2                |
|6    |AGENT TRUMAN               |2005-05-26 |2                |
|583  |MISSION ZOOLANDER          |2005-05-27 |2                |
|735  |ROBBERS JOON               |2005-05-27 |2                |
|891  |TIMBERLAND SKY             |2005-05-27 |2                |
|395  |HANDICAP BOONDOCK          |2005-05-28 |2                |
|938  |VELVET TERMINATOR          |2005-05-28 |2                |
|650  |PACIFIC AMISTAD            |2005-05-28 |2                |
|920  |UNBREAKABLE KARATE         |2005-05-28 |2                |
|708  |QUILLS BULL                |2005-05-28 |2                |
|434  |HORROR REIGN               |2005-05-29 |2                |
|578  |MILLION ACE                |2005-05-29 |2                |
|529  |LONELY ELEPHANT            |2005-05-30 |2                |
|86   |BOOGIE AMELIE              |2005-05-30 |2                |
|331  |FORWARD TEMPLE             |2005-05-30 |2                |
|698  |PRINCESS GIANT             |2005-05-31 |2                |
|816  |SNOWMAN ROLLERCOASTER      |2005-05-31 |2                |
|897  |TORQUE BOUND               |2005-05-31 |2                |
|142  |CHICKEN HELLFIGHTERS       |2005-06-15 |2                |
|916  |TURN STAR                  |2005-06-15 |2                |
|869  |SUSPECTS QUILLS            |2005-06-15 |2                |
|693  |POTTER CONNECTICUT         |2005-06-15 |2                |
|284  |ENEMY ODDS                 |2005-06-15 |2                |
|51   |BALLOON HOMEWARD           |2005-06-15 |2                |
|890  |TIGHTS DAWN                |2005-06-15 |2                |
|748  |RUGRATS SHAKESPEARE        |2005-06-16 |2                |
|30   |ANYTHING SAVANNAH          |2005-06-16 |2                |
|35   |ARACHNOPHOBIA ROLLERCOASTER|2005-06-16 |2                |
|907  |TRANSLATION SUMMER         |2005-06-16 |2                |
|738  |ROCKETEER MOTHER           |2005-06-16 |2                |
|164  |COAST RAINBOW              |2005-06-16 |2                |
|879  |TELEGRAPH VOYAGE           |2005-06-16 |2                |
|117  |CANDLES GRAPES             |2005-06-16 |2                |
|307  |FELLOWSHIP AUTUMN          |2005-06-16 |2                |
|603  |MOVIE SHAKESPEARE          |2005-06-16 |2                |
|968  |WEREWOLF LOLA              |2005-06-17 |2                |
|953  |WAIT CIDER                 |2005-06-17 |2                |
|738  |ROCKETEER MOTHER           |2005-06-17 |2                |
|670  |PELICAN COMFORTS           |2005-06-17 |2                |
|930  |VACATION BOONDOCK          |2005-06-17 |2                |
|415  |HIGH ENCINO                |2005-06-17 |2                |
|109  |BUTTERFLY CHOCOLAT         |2005-06-18 |2                |
|242  |DOOM DANCING               |2005-06-18 |2                |
|966  |WEDDING APOLLO             |2005-06-18 |2                |
|434  |HORROR REIGN               |2005-06-18 |2                |
|277  |ELEPHANT TROJAN            |2005-06-18 |2                |
|327  |FOOL MOCKINGBIRD           |2005-06-18 |2                |
|775  |SEATTLE EXPECATIONS        |2005-06-18 |2                |
|46   |AUTUMN CROW                |2005-06-18 |2                |
|838  |STAGECOACH ARMAGEDDON      |2005-06-18 |2                |
|292  |EXCITEMENT EVE             |2005-06-18 |2                |
|625  |NONE SPIKING               |2005-06-18 |2                |
|614  |NAME DETECTIVE             |2005-06-18 |2                |
|358  |GILMORE BOILED             |2005-06-18 |2                |
|433  |HORN WORKING               |2005-06-18 |2                |
|941  |VIDEOTAPE ARSENIC          |2005-06-18 |2                |
|501  |KISSING DOLLS              |2005-06-19 |2                |
|25   |ANGELS LIFE                |2005-06-19 |2                |
|245  |DOUBLE WRATH               |2005-06-19 |2                |
|369  |GOODFELLAS SALUTE          |2005-06-19 |2                |
|127  |CAT CONEHEADS              |2005-06-19 |2                |
|861  |SUIT WALLS                 |2005-06-19 |2                |
|760  |SAMURAI LION               |2005-06-19 |2                |
|418  |HOBBIT ALIEN               |2005-06-19 |2                |
|786  |SHEPHERD MIDSUMMER         |2005-06-19 |2                |
|271  |EASY GLADIATOR             |2005-06-19 |2                |
|206  |DANCING FEVER              |2005-06-19 |2                |
|902  |TRADING PINOCCHIO          |2005-06-19 |2                |
|631  |NOVOCAINE FLIGHT           |2005-06-19 |2                |
|973  |WIFE TURN                  |2005-06-19 |2                |
|759  |SALUTE APOLLO              |2005-06-20 |2                |
|388  |GUNFIGHT MOON              |2005-06-20 |2                |
|652  |PAJAMA JAWBREAKER          |2005-06-20 |2                |
|575  |MIDSUMMER GROUNDHOG        |2005-06-20 |2                |
|563  |MASSACRE USUAL             |2005-06-20 |2                |
|901  |TRACY CIDER                |2005-06-20 |2                |
|895  |TOMORROW HUSTLER           |2005-06-21 |2                |
|98   |BRIGHT ENCOUNTERS          |2005-06-21 |2                |
|774  |SEARCHERS WAIT             |2005-06-21 |2                |
|869  |SUSPECTS QUILLS            |2005-06-21 |2                |
|26   |ANNIE IDENTITY             |2005-06-21 |2                |
|159  |CLOSER BANG                |2005-06-21 |2                |
|534  |LOUISIANA HARRY            |2005-07-06 |2                |
|244  |DORADO NOTTING             |2005-07-06 |2                |
|6    |AGENT TRUMAN               |2005-07-06 |2                |
|43   |ATLANTIS CAUSE             |2005-07-06 |2                |
|778  |SECRETS PARADISE           |2005-07-06 |2                |
|898  |TOURIST PELICAN            |2005-07-06 |2                |
|570  |MERMAID INSECTS            |2005-07-06 |2                |
|444  |HUSTLER PARTY              |2005-07-06 |2                |
|575  |MIDSUMMER GROUNDHOG        |2005-07-06 |2                |
|790  |SHOOTIST SUPERFLY          |2005-07-06 |2                |
|103  |BUCKET BROTHERHOOD         |2005-07-06 |2                |
|850  |STORY SIDE                 |2005-07-06 |2                |
|496  |KICK SAVANNAH              |2005-07-06 |2                |
|581  |MINORITY KISS              |2005-07-06 |2                |
|683  |PITY BOUND                 |2005-07-06 |2                |
|746  |ROUGE SQUAD                |2005-07-06 |2                |
|284  |ENEMY ODDS                 |2005-07-06 |2                |
|946  |VIRTUAL SPOILERS           |2005-07-06 |2                |
|804  |SLEEPING SUSPECTS          |2005-07-07 |2                |
|510  |LAWLESS VISION             |2005-07-07 |2                |
|45   |ATTRACTION NEWTON          |2005-07-07 |2                |
|771  |SCORPION APOLLO            |2005-07-07 |2                |
|907  |TRANSLATION SUMMER         |2005-07-07 |2                |
|21   |AMERICAN CIRCUS            |2005-07-07 |2                |
|415  |HIGH ENCINO                |2005-07-07 |2                |
|893  |TITANS JERK                |2005-07-07 |2                |
|228  |DETECTIVE VISION           |2005-07-07 |2                |
|805  |SLEEPLESS MONSOON          |2005-07-07 |2                |
|678  |PICKUP DRIVING             |2005-07-07 |2                |
|692  |POTLUCK MIXED              |2005-07-07 |2                |
|730  |RIDGEMONT SUBMARINE        |2005-07-08 |2                |
|183  |CONVERSATION DOWNHILL      |2005-07-08 |2                |
|361  |GLEAMING JAWBREAKER        |2005-07-08 |2                |
|382  |GRIT CLOCKWORK             |2005-07-08 |2                |
|300  |FALCON VOLUME              |2005-07-08 |2                |
|554  |MALKOVICH PET              |2005-07-08 |2                |
|265  |DYING MAKER                |2005-07-08 |2                |
|292  |EXCITEMENT EVE             |2005-07-08 |2                |
|920  |UNBREAKABLE KARATE         |2005-07-08 |2                |
|334  |FREDDY STORM               |2005-07-08 |2                |
|764  |SATURDAY LAMBS             |2005-07-08 |2                |
|531  |LOSE INCH                  |2005-07-08 |2                |
|147  |CHOCOLAT HARRY             |2005-07-08 |2                |
|552  |MAJESTIC FLOATS            |2005-07-08 |2                |
|865  |SUNRISE LEAGUE             |2005-07-08 |2                |
|715  |RANGE MOONWALKER           |2005-07-08 |2                |
|99   |BRINGING HYSTERICAL        |2005-07-08 |2                |
|4    |AFFAIR PREJUDICE           |2005-07-08 |2                |
|551  |MAIDEN HOME                |2005-07-08 |2                |
|388  |GUNFIGHT MOON              |2005-07-08 |2                |
|775  |SEATTLE EXPECATIONS        |2005-07-08 |2                |
|796  |SIERRA DIVIDE              |2005-07-08 |2                |
|654  |PANKY SUBMARINE            |2005-07-08 |2                |
|651  |PACKER MADIGAN             |2005-07-08 |2                |
|816  |SNOWMAN ROLLERCOASTER      |2005-07-09 |2                |
|564  |MASSAGE IMAGE              |2005-07-09 |2                |
|222  |DESERT POSEIDON            |2005-07-09 |2                |
|440  |HUNGER ROOF                |2005-07-09 |2                |
|5    |AFRICAN EGG                |2005-07-09 |2                |
|204  |DALMATIONS SWEDEN          |2005-07-09 |2                |
|434  |HORROR REIGN               |2005-07-09 |2                |
|683  |PITY BOUND                 |2005-07-09 |2                |
|109  |BUTTERFLY CHOCOLAT         |2005-07-09 |2                |
|55   |BARBARELLA STREETCAR       |2005-07-09 |2                |
|919  |TYCOON GATHERING           |2005-07-09 |2                |
|657  |PARADISE SABRINA           |2005-07-09 |2                |
|545  |MADNESS ATTACKS            |2005-07-09 |2                |
|624  |NIGHTMARE CHILL            |2005-07-09 |2                |
|857  |STRICTLY SCARFACE          |2005-07-09 |2                |
|135  |CHANCE RESURRECTION        |2005-07-09 |2                |
|186  |CRAFT OUTFIELD             |2005-07-09 |2                |
|484  |JERK PAYCHECK              |2005-07-09 |2                |
|753  |RUSH GOODFELLAS            |2005-07-09 |2                |
|964  |WATERFRONT DELIVERANCE     |2005-07-09 |2                |
|877  |TAXI KICK                  |2005-07-09 |2                |
|935  |VANISHED GARDEN            |2005-07-09 |2                |
|656  |PAPI NECKLACE              |2005-07-10 |2                |
|488  |JOON NORTHWEST             |2005-07-10 |2                |
|44   |ATTACKS HATE               |2005-07-10 |2                |
|739  |ROCKY WAR                  |2005-07-10 |2                |
|650  |PACIFIC AMISTAD            |2005-07-10 |2                |
|971  |WHALE BIKINI               |2005-07-10 |2                |
|154  |CLASH FREDDY               |2005-07-10 |2                |
|748  |RUGRATS SHAKESPEARE        |2005-07-10 |2                |
|331  |FORWARD TEMPLE             |2005-07-10 |2                |
|760  |SAMURAI LION               |2005-07-10 |2                |
|969  |WEST LION                  |2005-07-10 |2                |
|320  |FLAMINGOS CONNECTICUT      |2005-07-10 |2                |
|863  |SUN CONFESSIONS            |2005-07-10 |2                |
|810  |SLUMS DUCK                 |2005-07-10 |2                |
|717  |REAR TRADING               |2005-07-10 |2                |
|356  |GIANT TROOPERS             |2005-07-10 |2                |
|17   |ALONE TRIP                 |2005-07-10 |2                |
|489  |JUGGLER HARDLY             |2005-07-10 |2                |
|908  |TRAP GUYS                  |2005-07-11 |2                |
|473  |JACKET FRISCO              |2005-07-11 |2                |
|369  |GOODFELLAS SALUTE          |2005-07-11 |2                |
|774  |SEARCHERS WAIT             |2005-07-11 |2                |
|272  |EDGE KISSING               |2005-07-11 |2                |
|572  |METROPOLIS COMA            |2005-07-11 |2                |
|901  |TRACY CIDER                |2005-07-11 |2                |
|59   |BEAR GRACELAND             |2005-07-11 |2                |
|199  |CUPBOARD SINNERS           |2005-07-11 |2                |
|389  |GUNFIGHTER MUSSOLINI       |2005-07-11 |2                |
|589  |MODERN DORADO              |2005-07-11 |2                |
|243  |DOORS PRESIDENT            |2005-07-11 |2                |
|294  |EXPECATIONS NATURAL        |2005-07-11 |2                |
|767  |SCALAWAG DUCK              |2005-07-11 |2                |
|970  |WESTWARD SEABISCUIT        |2005-07-11 |2                |
|708  |QUILLS BULL                |2005-07-11 |2                |
|673  |PERSONAL LADYBUGS          |2005-07-11 |2                |
|177  |CONNECTICUT TRAMP          |2005-07-11 |2                |
|972  |WHISPERER GIANT            |2005-07-11 |2                |
|518  |LIAISONS SWEET             |2005-07-11 |2                |
|397  |HANKY OCTOBER              |2005-07-11 |2                |
|667  |PEACH INNOCENT             |2005-07-11 |2                |
|951  |VOYAGE LEGALLY             |2005-07-12 |2                |
|323  |FLIGHT LIES                |2005-07-12 |2                |
|861  |SUIT WALLS                 |2005-07-12 |2                |
|989  |WORKING MICROCOSMOS        |2005-07-12 |2                |
|445  |HYDE DOCTOR                |2005-07-12 |2                |
|448  |IDAHO LOVE                 |2005-07-12 |2                |
|175  |CONFUSED CANDLES           |2005-07-12 |2                |
|891  |TIMBERLAND SKY             |2005-07-12 |2                |
|271  |EASY GLADIATOR             |2005-07-12 |2                |
|865  |SUNRISE LEAGUE             |2005-07-12 |2                |
|395  |HANDICAP BOONDOCK          |2005-07-12 |2                |
|615  |NASH CHOCOLAT              |2005-07-12 |2                |
|433  |HORN WORKING               |2005-07-12 |2                |
|972  |WHISPERER GIANT            |2005-07-12 |2                |
|601  |MOULIN WAKE                |2005-07-12 |2                |
|730  |RIDGEMONT SUBMARINE        |2005-07-12 |2                |
|636  |OLEANDER CLUE              |2005-07-12 |2                |
|614  |NAME DETECTIVE             |2005-07-12 |2                |
|349  |GANGS PRIDE                |2005-07-12 |2                |
|486  |JET NEIGHBORS              |2005-07-12 |2                |
|1,000|ZORRO ARK                  |2005-07-12 |2                |
|341  |FROST HEAD                 |2005-07-12 |2                |
|61   |BEAUTY GREASE              |2005-07-12 |2                |
|980  |WIZARD COLDBLOODED         |2005-07-12 |2                |
|932  |VALLEY PACKER              |2005-07-27 |2                |
